Seq,Date,Open,High,Low,Close,Volume,Ticker,Win_Count,Win_Loss,MA_50,MA_100,MA_200,Yin_Yang,Fluctuation,Risk_Group
199,2023-07-31,541.8699951171875,552.9400024414062,541.8699951171875,546.1699829101562,4059800,ADBE,0,1,470.8722,416.7873,376.8824,Yang,0.0204,low-risk
200,2023-08-01,545.780029296875,552.02001953125,541.6699829101562,549.0999755859375,2274000,ADBE,0,1,474.6456,418.8199,378.1971,Yang,0.0191,low-risk
201,2023-08-02,539.3200073242188,539.989990234375,526.5,530.2999877929688,2971000,ADBE,0,1,477.8266,420.7392,379.3749,Yin,0.0256,low-risk
202,2023-08-03,523.0,530.9099731445312,522.219970703125,523.760009765625,2183700,ADBE,4,0,480.8608,422.6838,380.554,Yang,0.0166,low-risk
203,2023-08-04,526.739990234375,535.6300048828125,522.1199951171875,526.8800048828125,2461900,ADBE,2,0,483.99,424.7099,381.7209,Yang,0.0259,low-risk
204,2023-08-07,530.0,532.5800170898438,523.52001953125,529.72998046875,1777600,ADBE,0,1,487.2694,426.6739,382.9047,Yin,0.0173,low-risk
205,2023-08-08,523.989990234375,524.5800170898438,515.25,520.5999755859375,2626100,ADBE,3,0,489.8402,428.5438,384.0085,Yin,0.0181,low-risk
206,2023-08-09,520.5499877929688,520.969970703125,509.5299987792969,513.780029296875,1843800,ADBE,5,0,491.808,430.1487,385.0655,Yin,0.0225,low-risk
207,2023-08-10,521.030029296875,523.219970703125,512.97998046875,515.8300170898438,1901700,ADBE,5,0,493.7804,431.7256,386.1128,Yin,0.02,low-risk
208,2023-08-11,510.8299865722656,514.9000244140625,506.3699951171875,508.45001220703125,1929900,ADBE,10,0,495.5936,433.1813,387.074,Yin,0.0168,low-risk
209,2023-08-14,506.7799987792969,522.5499877929688,505.0299987792969,522.25,2052500,ADBE,11,0,497.5036,434.6616,388.0663,Yang,0.0347,low-risk
210,2023-08-15,518.3499755859375,522.0399780273438,516.0599975585938,518.7000122070312,1824300,ADBE,8,0,499.1502,436.2315,389.0574,Yang,0.0116,low-risk
211,2023-08-16,517.8099975585938,523.1500244140625,514.1699829101562,514.489990234375,1541300,ADBE,8,0,500.7564,437.6864,390.0366,Yin,0.0175,low-risk
212,2023-08-17,525.0,525.489990234375,510.55999755859375,511.6700134277344,2455800,ADBE,3,0,502.332,439.0535,390.9665,Yin,0.0292,low-risk
213,2023-08-18,504.6499938964844,510.04998779296875,503.8999938964844,508.1300048828125,2139100,ADBE,12,0,504.1282,440.4033,391.9147,Yang,0.0122,low-risk
214,2023-08-21,510.2900085449219,522.97998046875,510.2900085449219,520.469970703125,2428300,ADBE,10,0,505.757,441.874,392.9369,Yang,0.0249,low-risk
215,2023-08-22,529.719970703125,530.0,518.3499755859375,519.47998046875,1496600,ADBE,0,1,507.0666,443.2772,394.0282,Yin,0.0225,low-risk
216,2023-08-23,522.72998046875,535.25,519.239990234375,530.7100219726562,2336900,ADBE,4,0,508.1882,444.7653,395.2521,Yang,0.0308,low-risk
217,2023-08-24,539.0,539.6699829101562,511.04998779296875,512.4299926757812,2950200,ADBE,0,1,508.857,446.0359,396.3855,Yin,0.056,low-risk
218,2023-08-25,514.9199829101562,528.4299926757812,514.469970703125,525.0599975585938,2308300,ADBE,9,0,509.7676,447.4857,397.5131,Yang,0.0271,low-risk
219,2023-08-28,525.7000122070312,533.510009765625,523.97998046875,529.9199829101562,1684100,ADBE,2,0,510.5478,448.9334,398.6519,Yang,0.0182,low-risk
220,2023-08-29,527.7000122070312,541.969970703125,526.1500244140625,540.5700073242188,2167000,ADBE,2,0,511.4556,450.5189,399.8604,Yang,0.0301,low-risk
221,2023-08-30,540.0999755859375,546.0,536.0900268554688,545.3599853515625,1930300,ADBE,0,1,512.6456,452.1665,400.9374,Yang,0.0185,low-risk
222,2023-08-31,547.0,562.0999755859375,546.760009765625,559.3400268554688,3919300,ADBE,0,1,514.2828,453.9974,402.0284,Yang,0.0281,low-risk
223,2023-09-01,564.7999877929688,569.97998046875,558.52001953125,563.2100219726562,2232300,ADBE,0,1,515.9954,455.9184,403.1426,Yin,0.0205,low-risk
224,2023-09-05,557.8800048828125,567.5900268554688,555.4199829101562,564.8800048828125,2349700,ADBE,0,1,517.5986,457.8683,404.2372,Yang,0.0219,low-risk
225,2023-09-06,560.4500122070312,564.0599975585938,555.8499755859375,561.9400024414062,2299900,ADBE,0,1,519.2472,459.6997,405.3548,Yang,0.0148,low-risk
226,2023-09-07,554.0,561.8300170898438,551.0800170898438,560.4600219726562,2089400,ADBE,0,1,520.671,461.5105,406.468,Yang,0.0195,low-risk
227,2023-09-08,568.9000244140625,570.239990234375,558.030029296875,560.3599853515625,2262000,ADBE,0,1,522.2296,463.3349,407.6155,Yin,0.0219,low-risk
228,2023-09-11,562.0,565.4299926757812,556.7000122070312,564.5,2083300,ADBE,0,1,523.8442,465.2044,408.8305,Yang,0.0157,low-risk
229,2023-09-12,555.6300048828125,559.0900268554688,540.3699951171875,542.2100219726562,3961300,ADBE,0,1,524.9086,466.8254,409.8872,Yin,0.0346,low-risk
239,2023-09-26,510.1400146484375,510.1400146484375,502.010009765625,506.29998779296875,2375400,ADBE,1,0,530.6604,482.6676,419.5915,Yin,0.0162,low-risk
240,2023-09-27,507.510009765625,509.25,498.70001220703125,502.6000061035156,3311100,ADBE,1,0,530.0678,484.3353,420.4416,Yin,0.0212,low-risk
241,2023-09-28,500.0,508.67999267578125,499.25,504.6700134277344,2720000,ADBE,1,0,529.6178,485.898,421.3117,Yang,0.0189,low-risk
242,2023-09-29,505.44000244140625,518.5800170898438,505.44000244140625,509.8999938964844,2795900,ADBE,1,0,529.4782,487.5564,422.1704,Yang,0.026,low-risk
243,2023-10-02,508.239990234375,522.4099731445312,508.239990234375,521.1300048828125,2411500,ADBE,1,0,529.4962,489.3412,423.0637,Yang,0.0279,low-risk
450,2023-07-31,250.60000610351562,250.60000610351562,245.83999633789062,247.25999450683594,2052000,ADP,0,1,223.1632,219.3232,229.3631,Yin,0.0194,high-risk
451,2023-08-01,247.25999450683594,248.77000427246094,245.02000427246094,248.32000732421875,1305500,ADP,0,1,223.821,219.5867,229.4841,Yang,0.0153,high-risk
452,2023-08-02,245.0500030517578,248.32000732421875,245.0500030517578,247.36000061035156,1809100,ADP,0,1,224.4446,219.8705,229.5714,Yang,0.0133,high-risk
453,2023-08-03,247.9499969482422,248.80999755859375,246.11000061035156,248.0,1129000,ADP,0,1,225.074,220.2149,229.6819,Yang,0.011,high-risk
454,2023-08-04,249.07000732421875,249.25999450683594,245.3699951171875,245.75999450683594,1237800,ADP,0,1,225.6782,220.537,229.7453,Yin,0.0159,high-risk
455,2023-08-07,246.88999938964844,251.02000427246094,246.3800048828125,250.82000732421875,1266800,ADP,0,1,226.4146,220.9093,229.8243,Yang,0.0188,high-risk
456,2023-08-08,249.49000549316406,250.6999969482422,247.25999450683594,248.33999633789062,1068600,ADP,0,1,227.1734,221.2602,229.8998,Yin,0.0139,high-risk
457,2023-08-09,248.8000030517578,251.3000030517578,248.30999755859375,250.30999755859375,1145000,ADP,0,1,227.93,221.6053,230.0039,Yang,0.012,high-risk
458,2023-08-10,251.6699981689453,254.1300048828125,249.77999877929688,250.55999755859375,1153700,ADP,0,1,228.7388,221.9787,230.093,Yin,0.0174,high-risk
459,2023-08-11,250.25999450683594,253.3699951171875,250.0800018310547,252.82000732421875,926400,ADP,0,1,229.6154,222.3482,230.1726,Yang,0.0132,high-risk
460,2023-08-14,253.14999389648438,254.30999755859375,250.99000549316406,251.9600067138672,1113200,ADP,0,1,230.4184,222.6868,230.2436,Yin,0.0132,high-risk
461,2023-08-15,250.77000427246094,252.22999572753906,250.1199951171875,250.97000122070312,1092800,ADP,0,1,231.1074,223.0639,230.3227,Yang,0.0084,high-risk
462,2023-08-16,250.9199981689453,252.97999572753906,250.35000610351562,250.89999389648438,1275300,ADP,0,1,231.8006,223.4367,230.4024,Yin,0.0105,high-risk
463,2023-08-17,252.42999267578125,252.83999633789062,249.44000244140625,250.27999877929688,1394500,ADP,0,1,232.4714,223.7982,230.4406,Yin,0.0136,high-risk
464,2023-08-18,249.16000366210938,251.75999450683594,248.6300048828125,251.0500030517578,2044300,ADP,0,1,233.163,224.1651,230.4873,Yang,0.0126,high-risk
465,2023-08-21,250.3699951171875,252.33999633789062,249.91000366210938,251.11000061035156,1205300,ADP,0,1,233.8814,224.5347,230.5247,Yang,0.0097,high-risk
466,2023-08-22,250.8800048828125,252.02999877929688,248.91000366210938,249.52999877929688,926100,ADP,0,1,234.5676,224.831,230.5851,Yin,0.0125,high-risk
467,2023-08-23,250.1300048828125,251.52000427246094,249.86000061035156,250.9199981689453,1027800,ADP,0,1,235.2188,225.1453,230.6592,Yang,0.0066,high-risk
468,2023-08-24,251.8699951171875,253.6300048828125,249.67999267578125,249.8000030517578,1132600,ADP,0,1,235.805,225.417,230.7239,Yin,0.0158,high-risk
