,Date,Open,High,Low,Close,Volume,Ticker,Win_Count,Win_Loss,MA_50,MA_100,MA_200,Yin_Yang,Fluctuation
199,2023-07-31,541.8699951171875,552.9400024414062,541.8699951171875,546.1699829101562,4059800,ADBE,0,1,470.8722,416.7873,376.8824,Yang,0.0204
200,2023-08-01,545.780029296875,552.02001953125,541.6699829101562,549.0999755859375,2274000,ADBE,0,1,474.6456,418.8199,378.1971,Yang,0.0191
201,2023-08-02,539.3200073242188,539.989990234375,526.5,530.2999877929688,2971000,ADBE,0,1,477.8266,420.7392,379.3749,Yin,0.0256
202,2023-08-03,523.0,530.9099731445312,522.219970703125,523.760009765625,2183700,ADBE,4,0,480.8608,422.6838,380.554,Yang,0.0166
203,2023-08-04,526.739990234375,535.6300048828125,522.1199951171875,526.8800048828125,2461900,ADBE,2,0,483.99,424.7099,381.7209,Yang,0.0259
204,2023-08-07,530.0,532.5800170898438,523.52001953125,529.72998046875,1777600,ADBE,0,1,487.2694,426.6739,382.9047,Yin,0.0173
205,2023-08-08,523.989990234375,524.5800170898438,515.25,520.5999755859375,2626100,ADBE,3,0,489.8402,428.5438,384.0085,Yin,0.0181
206,2023-08-09,520.5499877929688,520.969970703125,509.5299987792969,513.780029296875,1843800,ADBE,5,0,491.808,430.1487,385.0655,Yin,0.0225
207,2023-08-10,521.030029296875,523.219970703125,512.97998046875,515.8300170898438,1901700,ADBE,5,0,493.7804,431.7256,386.1128,Yin,0.02
208,2023-08-11,510.8299865722656,514.9000244140625,506.3699951171875,508.45001220703125,1929900,ADBE,10,0,495.5936,433.1813,387.074,Yin,0.0168
209,2023-08-14,506.7799987792969,522.5499877929688,505.0299987792969,522.25,2052500,ADBE,11,0,497.5036,434.6616,388.0663,Yang,0.0347
210,2023-08-15,518.3499755859375,522.0399780273438,516.0599975585938,518.7000122070312,1824300,ADBE,8,0,499.1502,436.2315,389.0574,Yang,0.0116
211,2023-08-16,517.8099975585938,523.1500244140625,514.1699829101562,514.489990234375,1541300,ADBE,8,0,500.7564,437.6864,390.0366,Yin,0.0175
212,2023-08-17,525.0,525.489990234375,510.55999755859375,511.6700134277344,2455800,ADBE,3,0,502.332,439.0535,390.9665,Yin,0.0292
213,2023-08-18,504.6499938964844,510.04998779296875,503.8999938964844,508.1300048828125,2139100,ADBE,12,0,504.1282,440.4033,391.9147,Yang,0.0122
